,VendorID,pickup_datetime,dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,payment_type,trip_type,pickup_Date,pickup_Time,pickup_month,dropoff_Date,dropoff_Time,trip_time_days
492528,2,55:21.0,17:54.0,N,99,265,207,1,0,41,0,0,0,0,0,41,Cash,Street-hail,1/26/2017,10:55:21,1,1/26/2017,11:17:54,0
2607363,1,17:10.0,17:10.0,Y,99,75,264,0,0,16.55,0,0,0,0,0,16.55,Creditcard,,4/3/2017,8:17:10,4,4/3/2017,8:17:10,0
4700919,1,58:19.0,58:19.0,Y,99,181,264,0,0,0,0,0,0,0,0,0,Creditcard,,4/27/2017,19:58:19,4,4/27/2017,21:58:19,0
4700920,1,54:55.0,54:55.0,Y,99,166,264,0,0,17.75,0,0,0,0,0,17.75,Creditcard,,4/27/2017,19:54:55,4,4/27/2017,19:54:55,0
4700921,1,54:25.0,54:25.0,Y,99,244,264,0,0,28.8,0,0,0,0,0,28.8,Creditcard,,4/27/2017,19:54:25,4,4/27/2017,19:54:25,0
4700922,1,52:51.0,52:51.0,Y,99,52,264,0,0,19.8,0,0,0,0,0,19.8,Creditcard,,4/27/2017,19:52:51,4,4/27/2017,19:52:51,0
4700923,1,20:33.0,20:33.0,Y,99,106,264,0,0,6.67,0,0,0,0,0,6.67,Creditcard,,4/27/2017,20:20:33,4,4/27/2017,20:20:33,0
4700924,1,15:36.0,15:36.0,Y,99,129,264,0,0,9.95,0,0,0,0,0,9.95,Creditcard,,4/27/2017,20:15:36,4,4/27/2017,20:15:36,0
4700925,1,14:02.0,14:02.0,Y,99,260,264,0,0,9.95,0,0,0,0,0,9.95,Creditcard,,4/27/2017,20:14:02,4,4/27/2017,20:14:02,0
4700926,1,12:08.0,12:08.0,Y,99,66,264,0,0,17.15,0,0,0,0,0,17.15,Creditcard,,4/27/2017,20:12:08,4,4/27/2017,20:12:08,0
4700927,1,11:52.0,11:52.0,Y,99,82,264,0,0,10.8,0,0,0,0,0,10.8,Creditcard,,4/27/2017,20:11:52,4,4/27/2017,20:11:52,0
4700928,1,11:31.0,11:31.0,Y,99,244,264,0,0,13.55,0,0,0,0,0,13.55,Creditcard,,4/27/2017,20:11:31,4,4/27/2017,20:11:31,0
4700929,1,12:03.0,12:03.0,Y,99,69,264,0,0,18,0,0,0,0,0,18,Creditcard,,4/27/2017,20:12:03,4,4/27/2017,20:12:03,0
4700930,1,10:52.0,10:52.0,Y,99,82,264,0,0,10.55,0,0,0,0,0,10.55,Creditcard,,4/27/2017,20:10:52,4,4/27/2017,20:10:52,0
4700931,1,09:54.0,09:54.0,Y,99,33,264,0,0,12.95,0,0,0,0,0,12.95,Creditcard,,4/27/2017,20:09:54,4,4/27/2017,20:09:54,0
4700932,1,09:42.0,09:42.0,Y,99,223,264,0,0,16.55,0,0,0,0,0,16.55,Creditcard,,4/27/2017,20:09:42,4,4/27/2017,20:09:42,0
4700933,1,05:43.0,05:43.0,Y,99,33,264,0,0,19.55,0,0,0,0,0,19.55,Creditcard,,4/27/2017,20:05:43,4,4/27/2017,20:05:43,0
4700934,1,04:57.0,04:57.0,Y,99,256,264,0,0,20.75,0,0,0,0,0,20.75,Creditcard,,4/27/2017,20:04:57,4,4/27/2017,20:04:57,0
4700935,1,00:46.0,00:46.0,Y,99,65,264,0,0,20.35,0,0,0,0,0,20.35,Creditcard,,4/27/2017,20:00:46,4,4/27/2017,20:00:46,0
4700936,1,10:27.0,10:27.0,Y,99,264,264,0,0,10.55,0,0,0,0,0,10.55,Creditcard,,4/27/2017,22:10:27,4,4/27/2017,22:10:27,0
4700940,1,12:09.0,12:09.0,Y,99,145,264,0,0,9.35,0,0,0,0,0,9.35,Nocharge,,4/28/2017,20:12:09,4,4/28/2017,20:12:09,0
4700952,1,04:10.0,04:10.0,Y,99,75,264,0,0,8.3,0,0,0,0,0,8.3,Creditcard,,5/1/2017,18:04:10,5,5/1/2017,18:04:10,0
4701006,1,55:06.0,55:06.0,Y,99,7,264,0,0,9.35,0,0,0,0,0,9.35,Nocharge,,5/15/2017,17:55:06,5,5/15/2017,17:55:06,0
5957531,1,37:11.0,37:11.0,Y,99,264,264,0,0,26.15,0,0,0,0,0,26.15,Nocharge,,6/27/2017,21:37:11,6,6/27/2017,21:37:11,0
7015727,1,31:11.0,41:59.0,Y,99,264,264,0,0,9.35,0,0,0,0,0,9.35,Creditcard,,10/13/2017,16:31:11,10,10/13/2017,13:41:59,0
8064726,1,55:08.0,55:08.0,Y,99,42,264,0,0,9.95,0,0,0,0,0,9.95,Creditcard,,3/10/2017,19:55:08,3,3/10/2017,19:55:08,0
8227194,1,30:47.0,30:47.0,N,99,264,264,0,0,21.5,0,0.5,3.7,0,0.3,26,Creditcard,,3/2/2017,10:30:47,3,3/2/2017,10:30:47,0
9115063,1,05:19.0,05:19.0,Y,99,193,264,0,0,8.8,0,0,0,0,0,8.8,Nocharge,,12/13/2017,8:05:19,12,12/13/2017,10:05:19,0
